"Attr1","Attr2","Attr4","Attr5","Attr8","Attr9","Attr15","Attr18","Attr20","Attr21","Attr27","Attr28","Attr29","Attr32","Attr34","Attr39","Attr41","Attr45","Attr47","Attr55","Attr57","Attr60","Attr61","class"
0.090415,0.46854,2.2061,37.257,1.1343,2.0398,798.96,0.1136,38.009,0.93002,5.3732,2.3933,4.1514,70.593,4.072,0.064679,0.067743,0.42565,40.638,6306.8,0.17012,9.6029,4.6214,"0"
-0.13221,0.47682,1.7181,79.125,1.0972,1.4343,-1444.5,-0.13221,0,2.4939,1.0669,1.8945,3.3156,110.97,3.2892,-0.093488,-0.13134,0.261265,0,708.18,-0.2527,9.9521,1.8823,"0"
0.0011371,0.41424,2.7898,63.683,1.4141,0.71197,4630.4,0.004218,50.646,0.48989,0.90415,0.34873,3.8011,68.096,1.6334,0.049682,0.21082,0.01151,53.294,1429.2,0.0019412,7.2069,3.0374,"0"
0.029986,0.79448,0.97797,-39.996,0.21561,1.084,6723.5,0.029986,31.235,1.4875,0.50943,-0.038837,5.0929,274.69,0.055144,0.046996,0.45861,0.37588,33.859,-1765.4,0.17505,11.686,1.6914,"0"
0.032767,0.30831,2.4593,35.24,2.2435,2.7794,2002.7,0.032767,20.339,0,0.46508,1.8225,2.4292,40.709,8.9203,0.010514,0.1952,0.21156,20.555,120.26,0.047372,17.946,9.5715,"0"
0.072227,0.35931,2.8577,32.076,1.7831,2.0079,1217.2,0.075139,81.352,0.82257,0.49921,12.042,3.3282,62.993,5.3541,0.041917,0.11474,0.16139,84.911,1313.3,0.11273,4.4867,4.1476,"0"
0.27808,0.2215,4.9888,122.53,3.5148,2.1362,209.29,0.34692,21.963,1.3531,55,7.5704,3.8582,37.242,8.0223,0.16818,0.018815,2.1633,26.404,5216.9,0.3572,16.619,4.464,"0"
-0.026983,0.76312,1.0572,-53.792,0.31042,2.0782,15647,-0.026983,61.187,0,-6259.1,0.22262,3.5051,132.82,2.7404,-0.0062734,-0.80746,-0.077453,60.806,139.28,-0.11391,5.9653,4.706,"0"
0.15079,0.5842,1.4485,85.889,0.71174,0.87949,1005.9,0.18543,30.181,2.4729,21.206,0.90817,4.4726,272.5,1.1804,0.21593,0.089501,2.0735,38.493,6854.9,0.36266,12.094,1.308,"0"
0.0061347,0.69489,1.436,8.3128,0.43907,3.7178,17424,0.0061347,20.732,1.0269,1.1854,16.833,3.0199,68.043,5.2805,0.013016,0.48617,0.029051,21.006,312.25,0.020107,17.605,5.6918,"0"
0.057159,0.72184,1.6533,32.606,0.38535,2.4997,3705.3,0.069934,24.219,1.0284,27.942,13.713,4.9855,89.165,3.3339,0.037272,0.34624,0.34462,25.156,37151,0.20549,15.071,5.1537,"0"
0.092539,0.15556,4.2506,82.738,4.2779,1.091,348.18,0.11652,66.656,0.80316,1.0652,1.1138,4.5369,47.509,0.73382,0.097636,0.031824,0.43341,72.721,15611,0.13906,5.4759,7.3888,"0"
0.26678,0.41576,3.8908,64.833,1.4052,1.7168,437.84,0.33272,78.204,0.70047,103.84,3.7507,4.4496,56.947,3.3071,0.19913,0.039818,0.72525,97.649,17461,0.45663,4.6673,3.9767,"0"
0.2108,0.13343,6.4233,233.41,6.2283,1.2379,191.4,0.23145,50.151,0.88209,2.4255,5.0629,4.6401,54.011,1.6391,0.19594,0.018148,1.3745,62.082,31595,0.25366,7.278,4.9448,"0"
0.0038919,0.8502,1.3726,10.36,0.1762,2.096,79735,0.0038919,35.78,1.485,1.5322,0.45993,2.5627,127.26,2.4577,0.0031156,2.5292,0.018942,35.892,99.183,0.02598,10.201,4.0764,"0"
-0.01251,0.99342,0.64743,-149.5,0.0031181,0.99318,9409.7,-0.01251,43.993,1.2983,-0.020663,-0.53745,4.9825,282.74,-0.0020601,-0.0020805,0.66657,-0.10551,43.693,-25979,-4.0385,8.2967,2.8582,"0"
0.044384,1.0643,0.43939,-158.4,-0.14114,1.0741,3489.2,0.044384,16.954,0.98457,0.79254,-0.90601,4.0275,218.1,0.11777,0.073786,0.18196,0.56251,18.21,-5644,-0.29548,21.529,7.8248,"0"
0.18976,0.7068,1.6816,0.37986,0.41482,1.0769,1315.8,0.18976,43.805,0.96816,0.7461,2.6023,4.3833,69.971,0.28333,0.069281,0.11249,0.54702,47.174,8476.2,0.64721,8.3324,7.8168,"0"
-0.0083375,0.665,1.3044,-61.268,0.50376,0.92891,390610,-0.0081033,107.52,0.9144,0.36466,0.35896,5.1419,187.59,1.3593,0.026882,1.2283,-0.03047,110.49,19610,-0.024888,3.3947,3.0425,"0"
0.013141,0.38626,2.243,44.2,1.5889,0.88321,2877.4,0.013141,107.62,0,3.7323,1.2139,3.9275,111.67,2.59,-0.13272,0.29538,0.050464,95.007,3220,0.021412,3.3917,4.1778,"0"
0.30535,0.56153,1.7499,46.308,0.78084,3.2636,546.27,0.36987,1.8951,0,1.0669,24.232,3.0107,69.331,5.2646,0.094179,0.059501,18.02,2.0922,431.63,0.69641,192.6,9.1466,"0"
0.22373,0.3548,7.4183,397.89,1.8185,0.57182,578.84,0.22373,0,0.99383,0,0.91068,3.726,62.878,1.131,0.0020664,0.079126,0.261265,0,2361.1,0.34676,9.9521,1.2742,"0"
-0.013368,0.53747,1.442,-70.563,0.85284,0.99898,5527.7,-0.014792,130.28,0.62118,0.096357,0.44559,4.0916,149.84,0.017943,0.0096456,0.29487,-0.03746,130.15,2242.3,-0.029165,2.8016,6.3,"0"
0.19187,0.66413,1.0551,-31.647,0.49122,1.0998,917.36,0.23794,33.315,1.107,1.0225,0.087586,4.299,91.463,0.36472,0.092971,0.081313,0.80683,36.64,651.55,0.58813,10.956,7.1503,"0"
0.15671,0.62779,1.5528,18.86,0.59288,2.3051,1428.1,0.15671,36.468,0.95314,7.2011,9.8641,4.0694,107.61,3.3582,0.085403,0.11826,0.68046,39.873,4031.6,0.42104,10.009,6.4159,"0"
0.11996,0.45114,1.737,34.704,1.159,1.101,980.27,0.14407,23.013,0.99548,0.96181,1.3526,4.9038,123.72,0.27565,0.08736,0.10003,1.3366,25.337,25883,0.22942,15.861,2.5493,"0"
0.053587,0.84297,1.1222,-35.767,0.18629,0.84375,2128.3,0.096387,62.354,0.98251,7.2157,0.2584,3.9704,314,0.86457,0.13623,0.17554,0.37177,72.189,715.55,0.34124,5.8537,1.6285,"0"
-0.10531,1.3869,0.66571,-121.54,-0.27897,2.4805,-8007.2,-0.083138,48.863,0.98568,-0.49928,-4.4677,4.0935,197.1,1.8031,-0.0081272,-5.85,-0.31714,48.469,-5598,0.2722,7.4699,4.9265,"0"
-0.11261,0.51954,1.5391,-8.8207,0.92478,2.3215,-3674.3,-0.10437,52.002,0,-4.4102,1.3975,3.8773,78.776,4.6334,-0.036904,-0.53577,-0.34047,50.151,2111.5,-0.23438,7.019,5.0943,"0"
0.25668,0.2232,4.2887,22.344,3.4803,3.1471,268.83,0.25668,58.771,1.0398,39.548,8.2349,3.3574,26.962,12.938,0.082423,0.024069,0.50653,64.05,1597.5,0.33043,6.2105,21.534,"0"
0.13784,0.10333,2.9628,213.96,8.6781,0.5031,183.64,0.13809,0,2.1896,2348.7,0.25681,4.6371,91.403,3.644,0.25162,0.017766,0.261265,0,8024.3,0.15373,9.9521,12.101,"0"
0.87355,0.1174,7.7424,332.04,7.5176,1.6158,47.525,0.87355,25.04,1.2804,303.91,7.3014,3.7545,56.252,6.3776,0.53661,0.0043505,7.8806,54.035,4420.8,0.98975,14.577,3.515,"0"
0.11783,0.19053,3.9755,66.587,4.1815,1.1028,316.13,0.14685,44.371,1.0528,0.90903,2.3373,5.3915,40.535,0.81854,0.082427,0.027343,0.51231,48.934,139660,0.1479,8.2261,9.0008,"0"
0.12206,0.199,3.697,108.33,3.6738,1.1391,377.46,0.15042,51.165,0.92207,1.5055,1.9649,4.8707,70.991,0.76726,0.13217,0.033602,0.75376,58.28,39500,0.16696,7.1338,2.4322,"0"
0.17609,0.14372,1.6701,-220.85,5.7745,1.2614,253.46,0.19712,302.78,1.7253,9.9885,0.1252,3.7222,255.02,1.4166,0.79183,0.022138,0.82563,381.94,503.31,0.21219,1.2055,14.854,"0"
0.14234,0.58871,1.3002,-16.549,0.55174,1.0855,997.35,0.1737,32.981,1.4339,0.47407,0.75359,5.004,67.726,0.25549,0.043671,0.10072,0.45738,35.801,17836,0.43822,11.067,8.3134,"0"
0.029271,0.27401,0.39234,-81.942,1.5849,1.0987,1145.3,0.035916,1.732,0.97783,1.0482,-0.093366,5.184,113.65,0.17805,0.095405,0.089907,12.063,1.903,-13452,0.0674,210.74,10.366,"0"
0.097222,0.77982,1.1496,1.3692,0.24744,1.0505,2037.9,0.097222,15.406,1.2238,0.50703,1.1274,4.642,117.43,0.15759,0.048265,0.15506,0.9046,16.185,5117.4,0.50385,23.691,3.2786,"0"
0.033205,0.45523,1.367,-444.22,1.1967,1.4079,361.12,0.033205,81.383,1.1478,0,0.4424,4.1747,300.37,1.2152,0.015738,0.035544,0.10578,207.12,2498.3,0.060952,4.4849,4.8052,"0"
0.028909,0.92269,0.68437,-105.25,0.083793,2.0514,2712.2,0.026652,50.251,0.98561,1.8621,-0.59139,4.6939,153.43,2.1167,0.047976,0.19872,0.10236,52.783,-12806,0.37391,7.2636,10.385,"0"
0.046585,0.74612,1.3663,-45.173,0.30425,1.0959,2548.3,0.044852,99.864,0.92721,0.84994,0.99118,4.2665,181.88,0.13169,0.077555,0.15305,0.1344,109.44,3897.7,0.20521,3.655,3.5851,"0"
0.15619,0.25631,3.6571,82.215,2.7911,1.13,442.05,0.19401,57.228,0,1.1757,10.871,4.0528,55.646,0.77117,0.10404,0.039143,0.52436,64.669,7691.4,0.21833,6.378,3.55,"0"
-0.15729,1.1095,0.4206,-236.38,-0.098729,1.1121,-6908.8,-0.10123,45.069,0.58193,-1749.8,-1.1911,4.0806,315.75,1.1486,-0.14594,-0.32382,-1.1454,39.329,-7690,1.4358,8.0987,4.4716,"0"
0.027226,0.40699,1.888,18.542,0.65204,1.0022,2101.5,0.032353,14.508,1.0373,0.064669,1.5606,3.8719,38.077,0.061991,0.006453,0.2105,0.1752,14.539,2691,0.10259,25.159,13.098,"0"
0.15249,0.57565,1.5882,11.381,0.71303,1.2016,952.08,0.19131,43.952,0.92771,1.9489,0.43602,4.6687,110.3,0.38141,0.1622,0.076026,0.9355,52.811,9339.7,0.3715,8.3046,5.5245,"0"
0.12196,0.047472,11.877,189.57,20.065,1.1122,103.11,0.14971,2.8992,0.82195,853.21,1.1839,3.2944,17.685,20.639,0.11902,0.010487,13.806,3.2909,1017,0.12803,125.9,5.4759,"0"
0.0068838,0.10481,7.2099,387.45,8.3239,1.0485,895.31,0.010436,56.257,0.75914,-0.23658,2.6637,5.0483,70.665,-0.1222,-0.022565,0.17685,0.078687,58.984,72745,0.0078905,6.488,3.6618,"0"
0.025032,0.71981,0.63279,-69.393,0.38925,1.7493,3076.2,0.014763,11.749,1.034,1.6975,-0.46896,6.1795,150.8,2.375,0.022688,0.22599,0.44456,12.022,-392140,0.089341,31.066,4.5635,"0"
0.070801,0.065172,8.8368,211.09,14.252,1.1091,254.4,0.090058,0,1.3134,0.83314,1.2043,4.9308,27.725,1.0968,0.075115,0.028595,0.261265,0,43549,0.076228,9.9521,14.764,"0"
1.9002,0.36354,2.3625,102.55,1.7507,3.9464,66.306,1.9002,0.53785,1.4909,0,3.5097,3.4291,74.21,4.9185,0.0012611,0.11999,326.77,1.1871,1330.5,2.9857,678.63,5.1873,"0"
0.022422,0.15122,5.3002,126.28,5.5968,1.0026,576.29,0.026635,0,0.43395,0.35168,3.2755,3.0286,40.236,0.31903,0.035077,0.042353,0.261265,0,694.57,0.026493,9.9521,4.1979,"0"
0.026141,0.29891,1.6512,26.162,2.0495,1.0476,1716.6,0.03274,2.2444,1.1946,0.13225,0.37279,4.5938,59.753,0.079533,0.012625,0.18001,2.2577,2.3511,7521.8,0.042672,162.63,5.1899,"0"
0.079069,0.2525,1.9896,74.219,2.9603,1.0709,781.61,0.10108,13.94,0.57785,1.1621,0.34804,4.4949,92.285,0.37663,0.10851,0.074165,2.3623,14.929,6399,0.10578,26.184,2.4154,"0"
0.04555,0.33135,2.1865,92.711,1.8193,1.0313,1650.2,0.057686,5.133,0.99531,0.40774,1.4035,5.0504,94.861,0.15616,0.039536,0.16175,2.4748,5.2936,43953,0.07556,71.108,2.8578,"0"
-0.19418,0.21817,2.4268,4.4549,3.5835,0.79488,-500.15,-0.19418,128.18,0.83729,-64.099,0.59699,3.3856,53.612,6.4785,-0.77817,-0.04501,-0.6956,72.087,719.73,-0.24836,2.8475,5.0724,"0"
0.019972,0.24418,4.1275,169.52,3.0954,1.3004,346.1,0.019972,45.973,0.78291,0,1.4938,4.1078,68.779,3.4935,0.050891,0.034265,0.12193,70.085,6444.1,0.026424,7.9394,3.6741,"0"
0.065628,0.57413,1.3643,-121.49,0.74178,1.1936,2103.5,0.065628,177.16,1.2461,10.929,0.96514,3.3259,184.63,1.977,0.049051,0.18015,0.11328,186.3,443,0.1541,2.0603,6.3518,"0"
-0.18897,1.0897,0.57904,-109.73,-0.082315,2.4455,-4019.2,-0.16698,51.725,0.47473,-2.8679,-1.2431,3.0949,146.26,2.4955,-0.112,-0.45857,-0.54526,46.516,-570.76,2.1067,7.0565,8.7601,"0"
-0.29886,0.74248,0.59126,-106.14,0.34684,0.83421,-1497.2,-0.25436,64.744,0.98041,-22.385,-0.16379,4.7088,107.35,1.4835,-0.32037,-0.14544,-2.0197,49.035,-6772.2,-1.1605,5.6376,41.409,"0"
0.079489,0.72868,0.83775,-43.143,0.37234,1.733,2346.4,0.098783,30.265,0,6.7988,-0.061153,3.2937,64.639,2.2198,0.066645,0.18663,0.55316,32.426,-91.403,0.29298,12.06,18.432,"0"
-0.010051,0.5457,0.99725,-31.118,0.83252,3.3555,3272.1,-0.010051,30.751,1.0311,-0.83944,-0.0032917,3.1421,58.857,6.2015,-0.0085426,0.29683,-0.035553,30.491,-2.081,-0.022123,11.869,13.582,"0"
0.11807,0.13469,5.2805,198.37,6.4242,1.1759,285.81,0.14687,56.873,1.1297,1.7395,1.9968,4.5675,61.296,1.0358,0.14793,0.026893,0.80347,66.875,21298,0.13645,6.4178,2.6583,"0"
0.033372,0.089748,2.2789,-2.6961,10.142,0.28484,760.79,0.033372,141.63,0,2.4017,0.13531,4.2841,82.834,4.1854,-0.31878,0.054431,0.30195,107.4,2097.1,0.036663,2.5771,4.0406,"0"
0.0098463,0.18284,5.3631,82.637,4.4692,1.8046,842.01,0.0098463,61.803,0.72929,0,2.6906,3.6876,36.087,7.9199,0.014284,0.087803,0.032224,77.018,3042.4,0.012049,5.9059,13.611,"0"
-0.032907,0.47585,2.1019,0.094584,1.1015,2.4769,-7588,-0.032907,71.643,0.79325,0,0.45993,2.606,99.524,3.6669,0.022359,1.5833,-0.067685,101.7,211.62,-0.062781,5.0947,5.2011,"0"
-0.02861,0.39896,1.1198,-8.7809,1.5065,0.53491,14145,-0.02861,23.166,0.98298,-4.4766,0.030154,3.8769,116.45,1.5424,-0.15035,0.89731,-0.8427,20.138,177.18,-0.0476,15.756,9.5986,"0"
0.043926,0.64876,1.1964,-92.069,0.54141,1.3879,2701.5,0.04686,108.93,0.73442,1.5251,0.42411,3.8125,175.09,1.9361,0.095009,0.12231,0.10605,120.36,768.68,0.12506,3.3509,5.0479,"0"
-0.0052049,1.1837,0.80885,-182.03,-0.15519,0.89293,34965,-0.0052049,32.48,2.69,-0.90809,-1.051,4.7865,435.7,0.71435,0.05304,3.8633,-0.065504,34.3,-11801,0.028334,11.238,1.6986,"0"
0.21549,0.23845,3.1732,108.63,3.1938,1.1146,311.13,0.24987,71.079,0.76133,47.008,1.5721,3.9979,89.871,3.7389,0.20011,0.03105,0.99284,88.861,4747,0.28296,5.1351,4.364,"0"
0.062551,0.6977,1.2226,-25.494,0.43329,1.5736,4071.2,0.062551,34.394,1.031,0,0.84639,3.5832,250.73,1.4044,0.021938,0.079126,0.42184,55.235,573.99,0.20692,10.612,2.607,"0"
0.064749,0.1279,3.4763,67.259,6.2752,1.1145,320.82,0.096424,22.443,0.76215,1.1245,0.53298,4.0761,36.774,1.0744,0.1009,0.022547,0.77323,25.012,3632.8,0.080676,16.264,10.136,"0"
0.041206,0.35793,2.4839,148.6,0.64918,1.0414,1850.9,0.061969,3.5699,1.102,0.4781,4.7869,4.8326,123.32,0.14151,0.045911,0.19856,3.8189,3.7176,36125,0.17734,102.24,6.0272,"0"
0.021097,0.26577,1.7584,-7.6569,2.2191,1.0386,829.32,0.028085,77.269,0.70824,0.3406,0.33988,4.8759,97.361,0.12041,0.032794,0.072279,0.10212,80.251,14283,0.035771,4.7238,4.5698,"0"
0.0060862,0.27595,1.8243,-27.158,2.1479,1.0095,1473.5,0.0068216,122.39,0.57022,0.39789,0.13191,4.7293,122.5,0.053215,0.039416,0.11903,0.048717,123.55,5474.4,0.010268,2.9822,4.4518,"0"
-0.1705,0.84118,1.1925,-17.76,0.1888,3.9772,-1861.9,-0.1705,31.707,0.85129,0.15151,19.046,3.1169,76.659,4.7065,0.0045607,0.77226,-0.49351,0.0045607,209.55,-1.0736,11.512,8.2926,"0"
-0.023698,0.47004,1.6445,-33.285,1.1275,0.36978,15690,-0.023698,72.219,0.4352,0.32267,0.057263,3.1697,77.934,0.77242,0.01815,0.34118,-0.32391,73.554,73.855,-0.044717,5.0541,13.389,"0"
0.04204,0.74571,1.3307,-176.54,0.341,2.2543,972.93,0.04204,148.57,3.5662,0,31.957,2.8944,166.83,2.1878,0.0048535,0.10456,0.045814,205.29,193.34,0.16532,2.4567,62.528,"0"
0.059282,0.73069,1.1578,-16.032,0.36857,2.398,2163.3,0.074992,25.092,0.64446,5.915,0.50419,3.4979,106.9,3.1772,0.03187,0.18062,0.3596,25.918,337.65,0.22012,14.546,5.5242,"0"
0.011815,0.30627,2.1622,21.869,2.1736,1.1473,1610.8,0.027491,10.399,1.2799,1.7999,0.58245,5.2529,87.098,3.3274,0.12145,0.11242,0.36148,11.707,2.1622,0,35.101,3.8344,"0"
0.13638,0.29757,3.3605,53.066,2.3605,2.6876,645.06,0.16838,44.782,0.83292,138.4,0.45993,2.6742,42.981,8.4921,0.059763,0.061651,0.41359,47.628,331.72,0.19415,8.1506,34.273,"0"
0.043252,0.33698,2.0505,51.656,0.78666,1.0232,1448.5,0.056117,4.6244,1.7706,0.23199,1.0857,4.2921,54.024,0.15411,0.022673,0.13724,1.4904,4.7318,6819.6,0.16316,78.929,7.9225,"0"
-0.23144,1.4842,3.6085,33.895,-0.32624,0.71306,-2340.7,-0.23144,209.88,0.83527,0,1.1564,3.3624,186.94,0.22433,0.009379,0.079126,-0.56446,449.49,1024.8,0.47799,1.7391,12.855,"0"
0.040879,0.11262,4.691,47.794,7.3369,1.0462,336.98,0.052055,3.3565,0.69797,0.4931,0.88122,5.016,45.141,0.39871,0.047132,0.032243,4.6661,3.5116,43128,0.049473,108.75,4.3617,"0"
-0.29384,0.654,1.2128,-23.031,0.52905,1.8219,-843.31,-0.30031,54.73,0.50232,-50.99,0.67293,3.7486,113.03,3.2293,-0.15918,-0.07831,-1.0756,47.214,780.11,-0.84924,6.6691,3.5374,"0"
0.0084617,0.24801,2.3268,-0.83504,2.9225,1.0574,1839.2,0.006313,129.35,0.75362,0.29738,0.6297,4.6484,103.63,0.095248,0.028124,0.12256,0.028427,136.77,13317,0.011674,2.8219,3.9679,"0"
0.0043142,0.28976,1.6972,-16.872,2.4511,1.0291,1611.6,0.017209,75.545,0.8662,0.29024,0.19902,4.8909,88.477,0.079466,0.028203,0.13334,0.025531,77.745,10428,0.0060743,4.8316,5.2037,"0"
0.052971,0.21144,3.4185,51.826,3.7229,0.88281,720.68,0.072167,69.778,0.85956,27.707,0.96899,5.2325,112.05,2.701,0.37611,0.067757,0.31386,107.86,3.4185,0,5.2309,3.6278,"0"
0.16465,0.15781,1.7913,8.6762,5.3053,1.0538,314.71,0.17943,28.85,0.91673,0.55409,0.16978,4.235,49.879,0.39825,0.052582,0.078081,1.7428,30.401,2106.9,0.19666,12.652,11.551,"0"
0.06119,0.53673,1.4783,12.386,0.74683,1.0654,1918.1,0.078354,45.659,0.87761,0.58007,1.2058,4.646,128.07,0.16428,0.054447,0.15762,0.30205,48.644,11289,0.15265,7.9941,2.8153,"0"
0.015055,0.3747,2.4641,24.462,1.6688,0.81754,1103.8,0.015055,20.869,0,1.658,0.16274,3.4694,39.11,2.1733,0.0039267,0.08511,0.32209,20.951,376.54,0.024077,17.49,11.266,"0"
0.088008,0.64497,1.0878,-104.98,0.19006,1.1338,1632.8,0.11686,100.57,1.3999,1.3258,0.054387,4.5215,119.53,0.23229,0.11694,0.11971,0.24931,114.02,1079.7,0.71794,3.6294,49.666,"0"
0.32791,0.17282,6.3166,244.79,4.7863,1.3054,147.29,0.41401,26.057,1.1992,275.74,3.954,4.9796,53.07,5.1945,0.31231,0.013992,3.5187,37.89,66208,0.39642,14.008,6.2843,"0"
0.12973,0.58712,1.3095,-17.286,0.62424,1.0646,1069.4,0.16142,40.357,1.1689,0.64499,0.44273,5.403,86.394,0.23107,0.060586,0.11053,0.52398,42.964,38976,0.35396,9.0442,5.6658,"0"
0.023278,0.61469,1.4333,13.805,0.62684,1.0505,918.82,0.023278,42.33,3.3696,1.0669,0.26727,4.9706,163.77,1.187,0.0032124,0.092753,0.19106,60.947,13257,0.060414,8.6227,3.1309,"0"
-0.20148,0.79046,0.55638,-181.35,0.26508,0.95599,-1655,-0.20148,93.093,0.72882,-2.65,-0.45487,3.7096,218.37,1.3806,-0.14153,-0.21814,-0.82633,81.551,-1484.1,-0.96156,3.9208,10.162,"0"
0.098757,0.69871,1.0996,-18.011,0.4312,3.7378,1189.4,0.1715,22.155,1.2199,1120.5,0.27323,2.922,73.729,4.8396,0.095332,0.10856,0.43528,24.49,56.834,0.32778,16.475,7.7744,"0"
-0.023862,0.80701,0.65048,-127.4,0.23914,1.038,22628,-0.021852,41.327,1.1231,0.3616,-0.36925,5.8584,212.6,0.048168,0.034836,0.35979,-0.18887,42.898,-157970,-0.12365,8.832,4.4464,"0"
0.00167,0.31039,1.5668,3.1849,2.1207,1.0228,2601.1,0.00167,43.557,0.80127,0.2315,0.34248,4.223,85.853,0.09842,0.022634,0.14088,0.010369,44.549,2940.2,0.002537,8.3799,5.8281,"0"
-0.1865,0.16338,4.315,64.479,5.0612,0.84979,-632.33,-0.17747,103.57,0.63971,-1.4436,1.6079,3.7712,46.859,-1.0793,-0.16988,-0.057644,-0.63319,88.012,3069.6,-0.22554,3.5242,3.6258,"0"
0.1308,0.11233,8.6543,260.96,7.9026,1.0247,212.88,0.17877,56.667,0.72537,3.2391,30.482,4.0626,47.991,7.6033,0.16649,0.016237,0.82224,67.987,9927.2,0.14735,6.4411,5.0442,"0"
-0.058406,0.11761,3.9071,68.735,6.2899,0.93993,4868.2,-0.056009,70.588,0.72241,-0.62761,0.6326,4.4062,45.355,-0.50508,-0.066772,0.71289,-0.33947,66.348,8712.3,-0.078952,5.1708,8.0932,"0"
